design_id,backend,selection_role,structure_gate,sequence_warnings,order_now,order_blockers,decision
rfdiffusion_v1__design_15,rfdiffusion_v1,primary,PASS,,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,benchmark_candidate
rfdiffusion_v1__design_9,rfdiffusion_v1,primary,PASS,,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,benchmark_candidate
rfdiffusion_v1__design_7,rfdiffusion_v1,primary,PASS,,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,benchmark_candidate
rfdiffusion_v1__design_18,rfdiffusion_v1,primary,PASS,,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,benchmark_candidate
rfdiffusion_v1__design_4,rfdiffusion_v1,primary,PASS,,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,benchmark_candidate
foundry_rfd3__design_6,foundry_rfd3,comparison_backup,PASS,backup_not_primary_due_backend_benchmark_result,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,comparison_backup
foundry_rfd3__design_14,foundry_rfd3,comparison_backup,WARN,backup_not_primary_due_backend_benchmark_result,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,comparison_backup
foundry_rfd3__design_16,foundry_rfd3,comparison_backup,WARN,NXS/T_motif;backup_not_primary_due_backend_benchmark_result,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,comparison_backup
foundry_rfd3__design_0,foundry_rfd3,comparison_backup,WARN,backup_not_primary_due_backend_benchmark_result,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,comparison_backup
foundry_rfd3__design_4,foundry_rfd3,comparison_backup,WARN,backup_not_primary_due_backend_benchmark_result,no,expression_system_unspecified;vector_unspecified;tag_signal_peptide_linker_policy_unspecified;codon_optimization_policy_unspecified,comparison_backup
